title,description,coordinates,phoneNumbers,url
ACTION VIE ET DEVELLOPEMENT,ONG œuvrant pour l' agriculture,DananeDanané - Côte d’Ivoire,"[""+225 07 57 02 92 52"",""+225 01 52 23 57 70""]",https://www.goafricaonline.com/ci/579502-action-vie-devellopement-ong-danane-cote-ivoire
ADAFO (ANTENNE DE DEVELOPPEMENT DE L'AFRIQUE DE FRANCOPHONE OCCIDENTALE),,En face de la cité SIR - RemblaisKoumassi - 10 BP 1323 Abidjan 10Abidjan - Côte d’Ivoire,"[""+225 27 21 23 04 08""]",https://www.goafricaonline.com/ci/127304-adafo-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
ADJL CI (AGIR POUR LA DEMOCRATIE LA JUSTICE ET LA LIBERTE EN COTE D'IVOIRE),"Démocratie
Justice
Droits de l'Homme","Rue des Jardins, residence AZIZ - Deux-plateaux - VallonCocody - 01 BP 10879 Abidjan 01Abidjan - Côte d’Ivoire","[""+225 25 20 00 09 43"",""+225 27 22 41 35 89""]",https://www.goafricaonline.com/ci/76220-adjl-ci-ong-abidjan-cote-ivoire
AFJCI (ASSOCIATION DES FEMMES JURISTES DE LA COTE D'IVOIRE),"Droits, citoyenneté, Démocratie","Rue des Chemins de Fer, A l'Ouest du Siège de la SIPFPlateau - 01 BP 1758 Abidjan 01Abidjan - Côte d’Ivoire","[""+225 27 20 32 28 24"",""+225 05 05 00 04 77""]",https://www.goafricaonline.com/ci/76151-afjci-organisations-non-gouvernementales-abidjan-cote-ivoire
AFRICA SAVES AFRICA,,Imm. pharmacie de koumassiAbidjan - Côte d’Ivoire,"[""+225 07 77 43 30 27""]",https://www.goafricaonline.com/ci/593519-africa-saves-africa-organisation-non-gouvernementales-ong-abidjan-cote-ivoire
AFRICA TRANSFORMATION INITIATIVES,AFRICA TRANSFORMATION INITIATIVES est une organisation chrétienne,"Rue Ministre, à 100m de MACI CANADA, non loin du Supermarché CDCI - Riviera PalmeraieCocody - 03 BP 731 Cidex 03Abidjan - Côte d’Ivoire","[""+225 07 08 30 53 85"",""+225 07 07 92 69 62""]",https://www.goafricaonline.com/ci/503285-africa-transformation-initiatives-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
AFRICA VISION,Soutien des hommes sans abris (Orphelinat),-CocodyAbidjan - BP-1234 - Côte d’Ivoire,"[""+225 01 53 12 15 33"",""+225 05 46 48 33 38""]",https://www.goafricaonline.com/ci/990541-africa-vision-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
AFRICABEAUTIES COTE D'IVOIRE,,Bvd cardePlateauAbidjan - Côte d’Ivoire,"[""+225 01 02 76 31 91""]",https://www.goafricaonline.com/ci/502211-africabeauries-cote-ivoire-organisation-non-gouvernementales-ong-abidjan-cote-ivoire
AFRIKI-PAPYRUS,"Promotion de l'education, la paix et le développement Durable à travers l'Art Livresque et l'oralité africaine.",kennedyBouaké - Côte d’Ivoire,"[""+225 07 57 36 70 81""]",https://www.goafricaonline.com/ci/602670-afriki-papyrus-organisations-non-gouvernementales-ong-bouake-cote-voire
AFRIQUE NATURE INTERNATIONAL,Conservation de la nature et de ses ressources,"Rue Daudet, Imm. Anyaman, A côté de la BADPlateau - 01 BP 4257 Abidjan 01Abidjan - Côte d’Ivoire","[""+225 27 20 33 81 30"",""+225 05 05 04 86 23""]",https://www.goafricaonline.com/ci/64783-afrique-nature-international-ong-abidjan-cote-ivoire
AI-BRICS,,Non loin du Maquis Delice - Niangon NordYopougonAbidjan - Côte d’Ivoire,"[""+225 01 01 07 41 10"",""+225 01 03 27 67 07"",""+225 01 02 26 82 68"",""+225 05 46 81 08 31""]",https://www.goafricaonline.com/ci/103276-ai-bibrics-organisations-non-gouvernementales-abidjan-cote-ivoire
AICHA ONG,,,[],https://www.goafricaonline.com/ci/601063-aicha-ong-abidjan-cote-ivoire
AICS (ALLIANCE IVOIRIENNE POUR LA COMPASSION ET LA SOLIDARITE),"L'Organisation non gouvernementale  A.I.C.S  a pour objet :    
-   venir en aide à l'enfance en difficulté ; 
-   promouvoir les droits et intérêts des enfants ;
-   apporter aide et assistance aux commerçants œuvrant dans le 
     vivrier en vue de leur autonomisation ;
-   participer à la lutte contre le VIH-SIDA à travers la sensibilisation ;
-   contribuer à la protection de l'environnement ;.....","Avenue 2 SICOGI-MAIRIE, Immeuble la Tour 5ème  étage à droiteTreichville - 01 BP 13098 Abidjan 01Abidjan - Côte d’Ivoire","[""+225 27 21 25 13 65"",""+225 07 07 19 39 70"",""+225 07 78 61 67 28"",""+225 05 05 59 12 84""]",https://www.goafricaonline.com/ci/788400-aics-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
AIDE,,"Rue des Jardins, face à l'Ambassade du Benin - Deux-plateaux - VallonCocodyAbidjan - Côte d’Ivoire","[""+225 27 22 41 42 90""]",https://www.goafricaonline.com/ci/110882-aide-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
AIDE INTERNATIONALE POUR LE DEVELOPPEMENT DURABLE,"L'ONG AIDD fait la promotion des ODD dont l'agriculture.
Pour ce faire, elle appui les groupements de femmes et les Organisations Paysannes (OP) dans la production de riz dans le département de Daloa.",Quartier tazibouo-universitéBP 1623Daloa - Côte d’Ivoire,"[""+225 07 79 41 38 68"",""+225 05 05 89 64 95"",""+225 01 40 80 35 91""]",https://www.goafricaonline.com/ci/569784-aide-internationale-pour-le-developpement-durable-daloa-cote-ivoire
AIESEC ABIDJAN SUD,,"Grand marché, immeuble SGBCI 2e étageKoumassiAbidjan - Côte d’Ivoire","[""+225 27 21 36 18 11"",""+225 07 49 70 87 71""]",https://www.goafricaonline.com/ci/292557-aiesec-organisations-non-gouvernementales-abidjan-cote-ivoire
AIP (ASSOCIATION IVOIRIENNE POUR LE PROGRES),"Développement, Droits de l'Homme",Air FranceBouaké - Côte d’Ivoire,"[""+225 27 31 62 43 62"",""+225 07 07 12 43 75""]",https://www.goafricaonline.com/ci/76206-aip-ong-bouake-cote-ivoire
AIPILV,"Communication officielle
Association interculturelle pour le volontariat Insolation de travail (A.IP.I.L.v)
Code des taxes: 91425930376 Série 3 à N: 1675
CEL: +39 
Email:associazioneprosecurit@gmail.com
Site:https://aipilv.wordpress.com
CUP (Code Projet unique: 146143 du 25/05/2021
P.g: N: 1981.25.05.2021
Office juridique: Piazzetta Carlo Mosi, 15 Bologne (Italie)
IBAN: IT94J0306909606100000178650
Formation
Orientation",Piazzetta Carlo musi 15 40127 Bologna ItaliaAbidjan - 40127 - Côte d’Ivoire,[],https://www.goafricaonline.com/ci/926516-aipilv-ong-abidjan-cote-ivoire
ALLIANCE COTE D'IVOIRE,"Soutien aux communautés dans le domaine
du SIDA",II Plateaux - Angré 7è trancheCocody - 08 BP 2046 Abidjan 08Abidjan - Côte d’Ivoire,"[""+225 27 22 52 85 70""]",https://www.goafricaonline.com/ci/76712-alliance-international-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
AMNESTY INTERNATIONAL,Droit Justice,Angré Carrefour les Oscars - Deux-plateaux - Les OscarsCocody - 04 BP 895 Abidjan 04Abidjan - Côte d’Ivoire,"[""+225 07 58 93 93 95"",""+225 05 54 67 21 68""]",https://www.goafricaonline.com/ci/60681-amnesty-international-ong-abidjan-cote-ivoire
APDH (ACTION POUR LA PROMOTION ET LA DEFENSE DES DROITS DE L'HOMME),"Droits de l'Homme, Santé de la reproduction, démocratie, bonne gouvernance, etc.","Imm. mistral,  Batiment B, 2ème étage, Porte 56 - 80 logementsAdjamé - 08 BP 360 Abidjan 08Abidjan - Côte d’Ivoire","[""+225 27 20 37 56 55"",""+225 07 78 18 05 88""]",https://www.goafricaonline.com/ci/76099-apdh-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
AREOS (AGENCE REGIONALE D'ECOUTE ET D'ORGANISATION SOCIALE),"L'AREOS, organisation à but non lucratif, constitue un centre d’écoute pour un apport d’aides humanitaires; pour un appui aux personnes défavorisées (personnes âgées, femmes et enfants vulnérables) en situation de détresse; et pour la formation, l’orientation et le coaching des personnes de tout genre pour leur bienêtre et leur insertion sociale.",KoulangoTanda - Côte d’Ivoire,"[""+225 07 09 79 98 04"",""+225 01 40 13 04 13""]",https://www.goafricaonline.com/ci/596943-areos-organisations-non-gouvernementales-ong-tanda-cote-ivoire
ASAPSU (ASSOCIATION DE SOUTIEN AUTO PROMOTION SANITAIRE ET URBAINE),La santé humanitaire,"Carrefour 9 kilos, Non loin de Orca Déco - Riviera 3Cocody - BP 585 Cidex 3Abidjan - Côte d’Ivoire","[""+225 27 22 47 20 75"",""+225 27 22 47 50 54"",""+225 27 22 47 35 02"",""+225 27 22 47 50 75""]",https://www.goafricaonline.com/ci/60837-asapsu-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
ASSOCIATION DE SECOURS MUTUEL DE COTE D'IVOIRE,,-Oumé - Côte d’Ivoire,"[""+225 05 45 04 10 04""]",https://www.goafricaonline.com/ci/601812-association-secours-metuelle-organisations-non-gouvernementales-ong-oume-cote-ivoire
ASSOCIATION REMCI,"Santé, éducation, securité alimentaire, plaidoyer...","Qt Commerce, à côté de la clinique médicale de Bouaké appelée clinique ""touré""01 BP 2672 Bouaké 01Bouaké - Côte d’Ivoire","[""+225 27 31 63 73 37""]",https://www.goafricaonline.com/ci/65982-association-remci-ong-bouake-cote-ivoire
ASSTV (ACTION SOLIDAIRE DANS LE SECTEUR DES TRANSPORTS POUR LES PERSONNES VIVANT AVEC LE VIH),,,[],https://www.goafricaonline.com/ci/169256-asstv-organisations-non-gouvernementales-abidjan-cote-ivoire
BETHESDA SOUBRE,,"Camp Manois, 1er Carrefour Sans LoiSoubré - Côte d’Ivoire","[""+225 07 07 88 92 10""]",https://www.goafricaonline.com/ci/371306-bethesda-organisations-non-gouvernementales-ong-soubre-cote-ivoire
BICE (BUREAU INTERNATIONAL CATHOLIQUE DE L'ENFANCE),Enfants en difficulté,Rue du CommercePlateau - 01 BP 1721 Abidjan 01Abidjan - Côte d’Ivoire,"[""+225 27 20 22 87 07""]",https://www.goafricaonline.com/ci/76515-bice-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
BIRTHRIGHT COTE D'IVOIRE,Aide aux femmes enceintes,En face de la Pharmacie Sainte Odile - Plateau DokuiCocodyAbidjan - Côte d’Ivoire,"[""+225 05 55 61 13 13"",""+225 07 09 33 75 87""]",https://www.goafricaonline.com/ci/469988-birthright-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
CABINET LIFE LONG,,,[],https://www.goafricaonline.com/ci/101543-cabinet-life-long-organisations-non-gouvernementales-bouake-cote-ivoire
CADHO (CARREFOUR AFRICAIN DES DROITS DE L'HOMME),"Défense des droits de l’enfant, genre,
intégration africaine, protection de
l’environnement",,[],https://www.goafricaonline.com/ci/76237-cadho-ong-abidjan-cote-ivoire
CAPITAL DE VIE,,,[],https://www.goafricaonline.com/ci/371069-capital-vie-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
CAR INTERNATIONAL,,KennedyBouaké - Côte d’Ivoire,"[""+225 27 31 65 77 44"",""+225 07 59 70 87 79""]",https://www.goafricaonline.com/ci/100825-car-international-organisations-non-gouvernementales-bouake-cote-ivoire
CARITAS COTE D'IVOIRE,,A côté de l'église St Ambroise Ma vigne - Angré 7è trancheCocody - 01 BP 2590 Abidjan 01Abidjan - Côte d’Ivoire,"[""+225 27 22 42 95 96""]",https://www.goafricaonline.com/ci/368203-caritas-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
CARITAS DIOCESE,,"AV. 15, Rue 25Treichville - 05 BP 215 Abidjan 05Abidjan - Côte d’Ivoire","[""+225 27 21 24 38 21""]",https://www.goafricaonline.com/ci/60733-caritas-diocese-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
CARREFOUR JEUNESSE,"Jeunesse, Droits de l'Homme",,[],https://www.goafricaonline.com/ci/76213-carrefour-jeunesse-ong-abidjan-cote-ivoire
CEFCI (CENTRE FEMININ POUR LA DEMOCRATIE ET LES DROITS HUMAINS EN COTE D'IVOIRE),Promotion droits de la femme et développement en milieu rural,Bd Latrille - Deux-plateaux - VallonCocody - 28 BP 642 Abidjan 28Abidjan - Côte d’Ivoire,"[""+225 27 22 41 53 73"",""+225 07 07 19 19 79""]",https://www.goafricaonline.com/ci/76253-cefci-organisation-non-gouvernementales-abidjan-cote-ivoire
CENTRE DE COUTURE DON ORION,Centre Pour les Handicapés,,[],https://www.goafricaonline.com/ci/65813-centre-couture-don-orion-ong-bonoua-cote-ivoire
CENTRE JOHNS HOPKINS,Sensibilisation sur le VIH/SIDA,"Lot 2790, Ilot 232, non loin de CI telecom - Angré 7è trancheCocody - 22 BP 1258 Abidjan 22Abidjan - Côte d’Ivoire","[""+225 27 22 42 07 03""]",https://www.goafricaonline.com/ci/91890-centre-johns-hopkins-ong-abidjan-cote-ivoire
CENTRE TETSUKO,,,[],https://www.goafricaonline.com/ci/68183-centre-tetsuko-organisations-non-gouvernementales-ong-korhogo-cote-ivoire
CENTRE ZAGAL,,"Non loin du carrefour Mangou, 1er pontYopougon - 31 BP 113 Abidjan 31Abidjan - Côte d’Ivoire","[""+225 05 76 04 79 39"",""+225 05 74 88 68 80""]",https://www.goafricaonline.com/ci/599051-centre-zagal-ong-abidjan-cote-ivoire
CERCLE D'ENSEIGNEMENT DES MATHEMATIQUES,,,[],https://www.goafricaonline.com/ci/70174-cercle-enseignement-mathematiques-ong-yamoussoukro-cote-ivoire
CHAIRE UNESCO,,,[],https://www.goafricaonline.com/ci/111181-chaire-unesco-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
CHANGE HUMAN'S LIFE,,,[],https://www.goafricaonline.com/ci/81934-change-humans-life-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
CHAPEDEC,Santé,"Av. 12, Rue 12, non loin du rond pointTreichville - 01 BP 8715 Abidjan 01Abidjan - Côte d’Ivoire","[""+225 27 21 25 01 09""]",https://www.goafricaonline.com/ci/169273-chapedec-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
CHARITIS,"CHARITIS est une organisation humanitaire dont l'objectif principal est de participer activement à la recherche des moyens et actions tendant à réduire les misères humaines.
En Outre, elle se donne les moyens de s’investir durablement dans le respect et la promotion des droits humains, le respect de l'environnement et l'amélioration du cadre de vie, la Justice sociale, la Santé des populations, l'Education, le Leadership et l’entrepreneuriat.","Non loin du complexe sportif de la riviera palmerai, Im. Yelemain, 4ème étageCocody - 25 BP 708 Abidjan 25Abidjan - Côte d’Ivoire","[""+225 07 09 26 88 07""]",https://www.goafricaonline.com/ci/578796-charitis-ong-abidjan-cote-ivoire
CHCI (ONG CAUSE HUMANITAIRE COTE D'IVOIRE),,"Rue des chanteurs, Imm. ordre des medecins - Cité des artsCocody - 04 BP 927 Abidjan 04Abidjan - Côte d’Ivoire","[""+225 27 22 48 52 80""]",https://www.goafricaonline.com/ci/292950-chci-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
CIAI,,Angré Caféier 1CocodyAbidjan - Côte d’Ivoire,"[""+225 27 22 50 71 29"",""+225 07 77 02 46 23""]",https://www.goafricaonline.com/ci/110715-ciai-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
CICPI,,Batiment C1 Porte 21 - 80 logementsAdjamé - BP 1305 Cidex 1 Abidjan 06Abidjan - Côte d’Ivoire,"[""+225 07 07 53 30 80""]",https://www.goafricaonline.com/ci/292746-cicpi-organisations-non-gouvernementales-abidjan-cote-ivoire
CLUB UNION AFRICAINE,"Démocratie et développement, Droits de l'Homme, Paix","Batiment M, Rez-de-chaussée, Face sococe - Deux-plateaux - SOCOCECocody - 14 BP 1928 AAbidjan 14Abidjan - Côte d’Ivoire","[""+225 27 22 41 17 22"",""+225 25 21 03 43 30""]",https://www.goafricaonline.com/ci/76124-club-union-africaine-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
CODDH (COALITION DES ONG DE DEMOCRATIE ET DES DROITS HUMAINS),"Objet social: 
- Promouvoir la démocratie et les droits de l'homme
- Renforcer la paix et la sécurité",KokrenouYamoussoukro - Côte d’Ivoire,"[""+225 01 52 10 07 29"",""+225 05 05 67 29 63"",""+225 07 78 81 71 64""]",https://www.goafricaonline.com/ci/167330-coddh-organisations-non-gouvernementales-ong-yamoussoukro-cote-ivoire
COEB-CI,,,[],https://www.goafricaonline.com/ci/593775-coeb-organisation-non-gouvernementales-ong-abidjan-cote-ivoire
COMMUNAUTE ABEL,"Aide assistance à la jeunesse en
difficulté. Education",Pres de la SGBCIBP 89Grand-Bassam - Côte d’Ivoire,"[""+225 27 21 30 11 91"",""+225 27 21 30 15 96"",""+225 05 06 21 22 86""]",https://www.goafricaonline.com/ci/71221-communaute-abel-ong-grand-bassam-cote-ivoire
CONSCIENCE NOUVELLE ET DEVELOPPEMENT,,,[],https://www.goafricaonline.com/ci/76797-conscience-nouvelle-developpement-ong-abidjan-cote-ivoire
CONSEIL DANOIS POUR LES REFUGIES,,,[],https://www.goafricaonline.com/ci/61417-conseil-danois-refugies-organisations-non-gouvernementales-abidjan-cote-ivoire
CONSEIL DES ORGANISATIONS DE LUTTE CONTRE LE SIDA,,,[],https://www.goafricaonline.com/ci/69091-conseil-organisations-lutte-contre-sida-ong-san-pedro-cote-ivoire
CONVERGENCES SOLIDARITE,,"Route des Rosiers, Lot 934 - Riviera PalmeraieCocody - 04 BP 352 Abidjan 04Abidjan - Côte d’Ivoire","[""+225 27 22 50 60 43"",""+225 07 08 91 48 54""]",https://www.goafricaonline.com/ci/389961-convergences-solidarite-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
COSOPCI (COALITION DE LA SOCIETE CIVILE POUR LA PAIX EN COTE D'IVOIRE),"Démocratie et développement, Droits de l'Homme, Paix
OSC (Organisation de la Société Civile)","246 logement, Villa 241,  II Plateaux - Deux-plateaux - SOCOCECocody - 14 BP 904 Abidjan 14Abidjan - Côte d’Ivoire","[""+225 27 22 41 70 58"",""+225 07 07 64 16 05""]",https://www.goafricaonline.com/ci/76200-cosopci-organisations-non-gouvernementales-abidjan-cote-ivoire
CPHDA,L’ONG CPHDA est une organisation qui milite pour la Promotion et la Défense des Droits Humains.,"Riviéra Palmeraie, Belle CôteCocodyAbidjan - Côte d’Ivoire","[""+225 27 22 51 42 12""]",https://www.goafricaonline.com/ci/820023-cphda-organisations-non-gouvernementales-niamey-niger
DKT INTERNATIONAL COTE D'IVOIRE,"Grâce à un marketing social dynamique, DKT offre aux couples des options abordables et sûres de planification familiale et de prévention du VIH / sida.","565, ilot 38 sur le prolongement de la résidence DIPPOKA - Angré 8è trancheCocody - 27 BP 1057 Abidjan 27Abidjan - Côte d’Ivoire","[""+225 27 22 45 89 62"",""+225 07 77 20 00 77""]",https://www.goafricaonline.com/ci/490453-dkt-international-organisations-non-gouvernementales-abidjan-cote-ivoire
DOGORE HELP,Organisation non-gouvernementale,"Lycée MermozCocodyAbidjan - cocody, riviera - Côte d’Ivoire","[""+225 07 00 38 41 75""]",https://www.goafricaonline.com/ci/828225-dogore-help-organisation-non-gouvernementales-ong-abidjan-cote-ivoire
EAUSE (CABINET DE CONSULTANCE BENEVOLE POUR L'ENTREPRENEURIAT SOLIDAIRE ET DE PRESTATION DE SERVICE),Cabinet de consultance bénévole au service de l’entrepreneuriat social & solidaire pour une émergence socio-économique et un co-développement durable nationalement et internationalement inclusif,Université de KorhogoBP 1328Korhogo - Côte d’Ivoire,"[""+225 07 87 02 53 38""]",https://www.goafricaonline.com/ci/464927-eause-organisations-non-gouvernementales-ong-korhogo-cote-ivoire
ECOLE INSTRUMENT DE PAIX EN COTE D'IVOIRE,Defence et promotion des droits de l'homme,Angré 7ème TrancheCocodyAbidjan - Côte d’Ivoire,"[""+225 27 22 42 99 44"",""+225 07 07 06 40 30""]",https://www.goafricaonline.com/ci/76799-ecole-instrument-paix-ong-abidjan-cote-ivoire
EDUCATION DEVELOPPEMENT,,,[],https://www.goafricaonline.com/ci/66109-education-developpement-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
EDUCIENNES,"EDUCIENNES est une organisation pour la promotion de l'Education, la Protection de la petite enfance, l'Emploi et l'Entrepreneuriat.",Rue Alpha Blondy - Riviéra 2CocodyAbidjan - Côte d’Ivoire,"[""+225 05 56 43 95 77""]",https://www.goafricaonline.com/ci/568121-educiennes-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
EMERGLEAD,encadrement de jeunes filles,Riviera PalmeraieCocodyAbidjan - Côte d’Ivoire,"[""+225 01 01 08 39 82""]",https://www.goafricaonline.com/ci/295783-emerglead-ong-abidjan-cote-ivoire
ENFANCE MEURTRIE SANS FRONTIERES,Prise en charge des enfants,"Quartier Cafop, derrière NSA Hotel28 BP 641 Abidjan 28Grand-Bassam - Côte d’Ivoire","[""+225 27 21 54 27 70"",""+225 07 09 99 74 93""]",https://www.goafricaonline.com/ci/97971-prince-organisations-non-gouvernementales-grand-bassam-cote-ivoire
ENGENDER HEALTH,,,[],https://www.goafricaonline.com/ci/110929-engender-health-ong-abidjan-cote-ivoire
ESPOIR DES POPULATIONS PAUVRE EN MILIEU RURAL,,Quartier Commerce21 BP 5160 Abidjan 21Daloa - Côte d’Ivoire,"[""+225 07 48 15 85 15"",""+225 07 07 76 19 75""]",https://www.goafricaonline.com/ci/371919-espoir-populations-pauvre-milieu-rural-organisations-non-gouvernementales-ong-daloa-cote-ivoire
ESPOIR-VIE,"Insertion des jeunes en milieu professionnel
et économique, Protection et promotion des
droits de l'homme",220 LogementsAdjamé - 09 BP 4168 Abidjan 09Abidjan - Côte d’Ivoire,"[""+225 27 31 63 73 20"",""+225 07 48 05 58 36"",""+225 05 05 64 00 09""]",https://www.goafricaonline.com/ci/76456-espoir-vie-ong-abidjan-cote-ivoire
FAC-CI,Ong pour les consommateurs,"Face marché Bagnon, route de Dabou - Marché BagnonYopougon - 01 BP 11333 abidjan 01Abidjan - Côte d’Ivoire","[""+225 07 09 54 77 32""]",https://www.goafricaonline.com/ci/111935-fac-ong-abidjan-cote-ivoire
FEDOCI (FEDERATION DES ONG DE DEVELOPPEMENT DE CÔTE D'IVOIRE),,Immeuble Sogefiha V 247 - WilliamsvilleAdjamé - 13 BP 1941 Abidjan 13Abidjan - Côte d’Ivoire,"[""+225 25 20 00 09 25"",""+225 07 09 24 24 53"",""+225 07 08 68 68 46""]",https://www.goafricaonline.com/ci/502551-fedoci-organisations-non-gourvernementales-ong-abidjan-cote-ivoire
FEMAD (ONG FEMME ACTION DEVELOPPEMENT),"Alphabétisation fonctionnelle, lutte contre le VIH/SIDA,lutte contre PFTE, création d'activités génératrices de revenus.",,[],https://www.goafricaonline.com/ci/78465-femad-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
FEMME ACTIVES,,,[],https://www.goafricaonline.com/ci/67749-femme-actives-organisations-non-gouvernementales-ong-abidjan-cote-ivoire
FEMME DROIT ET DEVELOPPEMENT EN AFRIQUE SECTION COTE D'IVOIRE,,,[],https://www.goafricaonline.com/ci/67746-femme-droit-developpement-afrique-section-cote-ivoire-ong-abidjan
